ANZKOT,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.090
ANZKOU,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.850
ANZKOV,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),8.210
ANZKOW,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.490
ANZKOY,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),4.460
ANZKOZ,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),-
ANZLOA,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),5.050
ANZLOB,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),1.955
ANZLOD,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),3.030
ANZLOE,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),4.340
ANZLOI,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),6.050
ANZLOQ,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.030
ANZLOS,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),1.725
ANZLOT,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),1.135
ANZLOU,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),3.720
ANZLOW,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),1.170
ANZPA,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,100.500
ANZPC,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,100.050
ANZPD,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,97.989
ANZPE,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,95.510
ANZPF,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,99.000
ANZQOC,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.660
ANZQOD,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),7.420
